Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2uPGRFWdwmUtYQSSvtRXtk,"Selfsame 02","False 02","Selfsame",2024-10-25,292173,4,false,1210603825,2024-12-02T18:47:46Z,"dub techno","False Aralia",0.873,0.299,10,-19.87,0,0.0813,0.101,0.848,0.0488,0.86,138.023,4
spotify:track:0GOc9oERmvXqizjlpO0UWV,"Écoute Au Loin","The Closest Thing to Silence","Ariel Kalma;Jeremiah Chiu;Marta Sofia Honer",2024-02-02,362893,5,false,1210603825,2024-12-02T18:47:46Z,"new age,ambient,electroacoustic,drone,ambient jazz","International Anthem",0.396,0.284,7,-16.264,0,0.0333,0.979,0.866,0.134,0.122,159.997,4
spotify:track:5NxP2E8kTnYMpuZ9oJKkS8,"Farmer’s Song (Part A)","Farmer’s Song (Part A)","Amirtha Kidambi;Elder Ones",2024-02-27,446943,0,false,1210603825,2024-12-02T18:47:46Z,"experimental jazz,free jazz,avant-garde","We Jazz",0.367,0.595,2,-16.396,1,0.0923,0.577,0.922,0.17,0.368,121.236,4
spotify:track:2rmOObKhTlxq8dl4NucwoV,"Dust from the Mines","Dust from the Mines","Ava Mendoza",2024-10-24,391069,0,false,1210603825,2024-12-02T18:47:46Z,"free jazz,experimental jazz","Palilalia",0.0945,0.595,9,-8.478,0,0.0399,0.883,0.889,0.11,0.211,68.693,4
spotify:track:14Pbm2W3kF8lEc0EGDsdjH,"Lift You","You Never End","Moin;Sophia Al-Maria",2024-10-25,232924,42,false,1210603825,2024-12-02T18:47:46Z,"noise rock,spoken word","AD 93",0.789,0.379,5,-15.398,1,0.0758,0.341,0.277,0.345,0.228,133.001,4
spotify:track:5kxEo5g6OgnVF0OkZmcYOP,"Scout","Prayer in Dub","Body Meπa",2024-10-25,991736,1,false,1210603825,2024-12-02T18:47:46Z,"experimental jazz,post-rock,experimental,ambient jazz","Hausu Mountain",0.183,0.891,2,-8.823,0,0.0672,0.000403,0.931,0.101,0.353,149.752,4
spotify:track:46yLzoEE1YcCSwsTWEpA2M,"Lasik","Viewfinder","Wendy Eisenberg",2024-09-13,347000,9,false,1210603825,2024-12-02T18:47:46Z,"expressionism,free jazz,experimental jazz","American Dreams Records",0.283,0.379,7,-13.622,1,0.0329,0.653,0.0279,0.135,0.119,105.024,4
spotify:track:3XjhOYg7FGEjF2RP0zG8Oz,"Binding","My Method Actor","Nilüfer Yanya",2024-09-13,316628,40,false,1210603825,2024-12-02T18:47:46Z,"","Ninja Tune",0.678,0.445,8,-10.312,1,0.029,0.828,0.0000112,0.111,0.474,84.027,4
spotify:track:41J7LnXfRIdLWSmGUjznpo,"Daffodil - Blue Lake Re-Work","Remixed But Still Not Fixed","Astrel K;Blue Lake",2024-09-06,325000,3,false,1210603825,2024-12-02T18:47:46Z,"krautrock,ambient","Tough Love Records",0.387,0.0303,9,-31.634,0,0.0343,0.849,0.626,0.0783,0.0688,88.863,4
spotify:track:0Zmk6KrmSoYXfKCWN4cTDR,"When the Bakery Has What You Want, and it's Cheap","Fever of the World","Memotone",2024-10-11,221874,6,false,1210603825,2024-12-02T18:47:46Z,"ambient jazz","Soda Gong",0.319,0.166,6,-16.052,1,0.0365,0.869,0.86,0.169,0.0622,75.513,1
